,document,term,tfidf
100462946,1016,retir,0.2945647516692378
100465229,1016,taken,0.27563111463781237
100461116,1016,oper,0.2719812097811837
100462895,1016,rescu,0.2532318190719171
100458744,1016,kill,0.21818804763450558
100454462,1016,daughter,0.21573242438808385
20014282,1017,prior,0.3734547705075496
20017454,1017,tear,0.34189188514931623
20003417,1017,allianc,0.3402454849555457
20010285,1017,inner,0.32871838987947066
20016434,1017,societi,0.2920200111725993
20006075,1017,continu,0.2872908044927672
20006776,1017,demon,0.27486053744069394
20005992,1017,confront,0.2631305705442816
20003616,1017,apart,0.262095261551328
20017657,1017,threaten,0.2348330115110273
69506650,1018,barsoom,0.5494984927063649
69517318,1018,rediscov,0.2313284474989728
69521500,1018,weari,0.22071270143048452
69512733,1018,inexplic,0.20552506378332405
69508336,1018,collaps,0.20424179801160236
69510123,1018,embroil,0.20301315614719292
69514336,1018,mar,0.2018346771562243
69510423,1018,exot,0.1985630223466551
69507382,1018,brink,0.19130789487586508
69508492,1018,conflict,0.18182440084467041
86370906,1019,gold,0.3526996516111396
86373379,1019,locat,0.2396338176268973
86372396,1019,island,0.19367945900761874
86373822,1019,martinez,0.18489820235767984
86374374,1019,molokai,0.18489820235767984
86375817,1019,pilfer,0.18489820235767984
86369265,1019,drug,0.1823450340109824
86376721,1019,reconnaiss,0.16709668191430604
86379056,1019,sunken,0.1635545737082164
86380506,1019,vaccin,0.1635545737082164
161270213,102,dumbledor,0.3399039072373212
161281668,102,voldemort,0.3399039072373212
161272568,102,hogwart,0.3213295691666564
161274168,102,lie,0.228877540219596
161275465,102,muggl,0.18805765830455884
161279149,102,slughorn,0.18805765830455884
161280546,102,tighten,0.1699519536186606
161269211,102,crucial,0.15625551675804528
161274331,102,loom,0.15437220842689217
161267402,102,blossom,0.14357262418882344
162985837,1020,formid,0.32423285231591265
162985766,1020,foe,0.3112160578945343
162986283,1020,globe,0.3037818127806954
162987465,1020,imposs,0.27173845591548784
162995003,1020,thought,0.2631525131460232
162983284,1020,complet,0.2527219741560861
162980508,1020,accid,0.23497119868425945
162981161,1020,assassin,0.23178957740167266
162988217,1020,kidnap,0.22293889996159386
162988717,1020,like,0.21144021690220174
79917992,1021,juri,0.2556300777120326
79921945,1021,rapist,0.2355498030382131
79911084,1021,assault,0.20140450643166788
79914951,1021,endur,0.19279321519965928
79916944,1021,hill,0.19118337257738902
79925100,1021,torment,0.19041080112143
79917111,1021,horrif,0.18682974033238786
79921148,1021,piec,0.18425295721784918
79922202,1021,reluctantli,0.18023090529929833
79924455,1021,support,0.18023090529929833
115302438,1022,mib,0.5587060001862254
115305304,1022,reunit,0.21635535865755523
115308691,1022,untarnish,0.18623533339540846
115297677,1022,earth,0.18064006623289625
115305952,1022,scum,0.17267161837278014
115305997,1022,seductress,0.16830507743595027
115307011,1022,statement,0.16830507743595027
115298155,1022,expertis,0.16172088628787443
115294149,1022,avert,0.15910790335015174
115293353,1022,absolut,0.1568030890553685
28645051,1023,car,0.4087996152538712
28654395,1023,race,0.2582983330187432
28647572,1023,enzo,0.24636091825942616
28648008,1023,ferrari,0.24636091825942616
28642705,1023,1966,0.23858263307707642
28651032,1023,le,0.2234518633561488
28652408,1023,motor,0.20887859342918752
28650180,1023,interfer,0.20471070094102953
