term,Drama,Comedy,Thriller,Action,Adventure,Horror,Romance,Family,Crime,Science Fiction,Fantasy,Animation,Mystery,History,Music,TV Movie,War,Documentary,Western
occupi,0.19772345558037213,0.3562336826850549,0.24282377125922605,0.2004278154807512,nan,0.1911991099877762,0.2455937056565739,nan,nan,nan,0.35689936809153444,nan,0.2804175462218338,0.26980835699605543,nan,nan,0.22889181215598534,nan,nan
access,0.188395042482739,0.2073818060341041,0.2174851826221936,nan,0.21685926727484142,nan,0.2067720448387604,nan,nan,nan,0.2073818060341041,nan,0.2448745243940354,0.2292776665725528,0.2803896334851082,nan,nan,nan,nan
allow,0.24389384851832455,0.25052001839079185,0.2395577928590696,0.1899070274141718,0.18834651152422865,0.2337529223227065,0.27354646703727165,0.1926738125519633,nan,0.21884240824414003,0.23766283307658637,nan,0.2136510469736457,nan,nan,0.2344486499874944,0.2468300033765896,nan,nan
consequ,0.25446169170605104,0.2807374448008249,0.2529532154430954,nan,0.20664848343563597,0.2665818380386025,0.2521282464311188,nan,nan,0.2584155700899153,0.22204978470867104,nan,0.2553909446580677,0.2453963341181153,nan,nan,nan,0.2453963341181153,0.2651279804893675
memori,0.29384454366942026,0.2465262265519537,0.28093079355118117,0.3692727337960562,0.2952547649374797,nan,0.32708324696446106,nan,0.2663061901280664,0.27905572094370734,nan,nan,0.2933090416101851,nan,nan,nan,0.2599499263076673,nan,nan
unexpect,0.24504591608380685,nan,0.23853525101390427,0.24156203667816933,0.2458908483100729,0.22408340738268417,0.25063370767392523,0.2261258785913102,0.2630536498581849,0.20430278251489453,nan,nan,0.22783162126456535,nan,0.2198740189711094,nan,nan,nan,nan
creatur,0.28217750136877107,0.24369853465522717,0.2538293044014727,0.244816198506495,0.23456864806546177,0.2724924412277461,0.30965245812500986,0.23395884996699845,nan,0.2551425976647557,0.2526936590833097,0.23427032265695538,0.23690441431505116,nan,0.3342431878965944,0.2322891075430743,nan,nan,nan
deterior,nan,nan,0.2306055304099418,nan,0.1813480776208856,0.2952996588126845,nan,nan,nan,0.1813480776208856,nan,nan,nan,nan,nan,nan,0.1861224531501824,nan,nan
cave,0.2530676610643265,0.16581677926586075,0.3806017860977948,0.2810619294918514,0.3513594810800038,0.30980748983188805,0.2038885272498176,0.1490673680620073,nan,0.2957698513542715,nan,0.16581677926586075,0.1825661904697142,0.5365984855604685,nan,nan,0.2038885272498176,nan,nan
collaps,0.23886199209532805,nan,0.2754329797415676,0.1979270198298434,0.21862587309399578,0.2481653000864945,0.1672346110445324,nan,nan,0.2042417980116023,nan,nan,nan,0.3005386806196629,0.1939709637609013,nan,0.1952253587264917,nan,nan
bloodthirsti,0.2951318277070057,0.2254170644320234,0.24959510774907914,0.2515753834771039,0.21436057635814534,0.25255505298800973,nan,0.2254170644320234,nan,0.23984996316147902,0.1583572972072899,0.2254170644320234,0.1793481167879819,nan,nan,nan,nan,nan,nan
expedit,0.2403048378713236,0.322581544160801,0.27141297782677226,0.3582746459450496,0.3400346267596302,0.2773848542099339,nan,0.2131442318980208,nan,0.22966642758829062,0.2766025830944627,0.28117361929178647,0.2426663726042074,0.3269068300534151,nan,nan,nan,nan,nan
horribl,0.23441459121827368,0.24313000539753793,0.25672668029432266,0.1569871247420402,0.2687135990078179,0.22982100164653932,0.23958931115359436,nan,0.1918108208059332,0.2275249951519731,0.2243215724813552,0.2825701481898023,0.18613759376420275,nan,nan,0.2825701481898023,nan,nan,nan
underground,0.27452347994478693,0.2711939478479831,0.2776300299531709,0.26080437607875223,0.2556528721247645,0.23245964925876605,nan,0.2324925719730172,0.2230644706983016,0.24221913514630472,0.2310765150271599,nan,0.22678648958940703,0.2492097545063896,0.2296170354912969,nan,0.2592400791554017,nan,nan
tragic,0.2513613700304688,0.22488108837480258,0.2199645945584976,nan,0.24508701432177865,0.24685858061609994,0.25315316100961244,nan,0.25432274936038485,0.2609960546923832,0.2714903025150349,nan,0.23089440612326098,nan,0.1952904840729871,0.2083967222233708,nan,nan,nan
reunit,0.24171570301438874,0.2493054799846326,0.24883667427684764,0.2437864948733072,0.22529964658621074,0.21787888069702488,0.24050437763861374,0.2595394414531906,0.25535906287096966,0.2536011685234357,0.26246003934701945,0.2752877526564627,0.2624832287365569,nan,nan,0.2184280962529227,0.2259854218715445,nan,nan
highlight,nan,nan,nan,nan,0.2179280561632357,nan,nan,0.2179280561632357,nan,nan,0.2179280561632357,nan,nan,nan,nan,0.3363938870764841,nan,nan,nan
gospel,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.567939056246272,0.2331272989345075,0.3257730158532135,nan,nan,nan
